rank,regParam,map,ndcg,rmse
10,0.001,6.598575606896174E-4,0.00875476618049231,2.1061103913517
10,0.005,7.103639496620143E-4,0.010857807903859411,1.3190466819468456
10,0.01,0.0012070155829144026,0.013675675329623589,1.20099513840061
10,0.05,0.002606201429817325,0.023838468688368142,0.9842689287128371
10,0.1,0.002451706220652123,0.01928657243095006,0.9432552903404082
75,0.001,0.013865603690861653,0.0789818402967864,1.9709209481784282
75,0.005,0.01865096137160089,0.09226926855296501,1.5369328608323898
75,0.01,0.018794036682639164,0.09251651096082789,1.3321721872356802
75,0.05,0.01174366979780064,0.07668987425469916,1.0250432189868712
75,0.1,0.0069398832471992316,0.04975180941182138,0.9715561583122947
200,0.001,0.020702149590875258,0.0992524962599389,2.0136443481427873
200,0.005,0.020614387078892373,0.10023315665056873,1.5345272080944152
200,0.01,0.020535797135523746,0.09857865350010317,1.3304726349507412
200,0.05,0.012152246907755807,0.07828094583287262,1.0244358060084133
200,0.1,0.006993965655046741,0.05042826566438208,0.9714856907441985
